iso_i,iso_j,value_ij,dist_ij,rgdp_i,rgdp_j,currency_ij
AFG,VNM,341.8760071,4505.889908,12486950912,1.06015E+11,0
AFG,YEM,135.3901032,3281.159665,12486950912,27838717952,0
AFG,ZAF,51.46102798,8338.339474,12486950912,2.84183E+11,0
AFG,ZMB,1.558431268,6882.723152,12486950912,15328314368,0
AGO,ARE,656426.6905,5939.362467,75492417536,2.53547E+11,0
AGO,ARG,24.90229034,7977.915715,75492417536,3.78496E+11,0
AGO,AUS,33064.83885,12954.90535,75492417536,9.26283E+11,0
AGO,AUT,18374.43089,6432.058195,75492417536,3.9757E+11,0
AGO,BEL,614726.3744,6817.662461,75492417536,4.85804E+11,0
AGO,BLR,17.56888199,7185.96345,75492417536,49208655872,0
AGO,BRA,29443.31259,6440.572262,75492417536,1.62019E+12,0
AGO,CAN,657299.6368,11627.29273,75492417536,1.37084E+12,0
AGO,CHE,115753.0879,6356.838224,75492417536,5.39508E+11,0
AGO,CHL,59420.41674,8947.971719,75492417536,1.72323E+11,0
AGO,CHN,14345708.84,11829.96678,75492417536,4.99023E+12,0
AGO,CIV,14576.21626,2712.489592,75492417536,24277493760,0
AGO,CMR,13952.73168,1787.590855,75492417536,23381143552,0
AGO,COL,155.6449184,9982.689204,75492417536,2.33822E+11,0
AGO,CRI,2.934000015,11066.57939,75492417536,29382692864,0
AGO,CZE,4.795000076,6653.980078,75492417536,2.0573E+11,0
AGO,DEU,74700.97595,6825.559198,75492417536,3.41277E+12,0
AGO,DNK,33532.36334,7308.256539,75492417536,3.19764E+11,0
AGO,DOM,45.56324685,9734.70053,75492417536,47889006592,0
AGO,DZA,1544.01704,5223.227204,75492417536,1.37212E+11,0
AGO,ESP,2272989.494,5815.768649,75492417536,1.49898E+12,0
AGO,ETH,2.278000116,3510.409562,75492417536,32437389312,0
AGO,FIN,44290.10022,7962.54351,75492417536,2.51484E+11,0
AGO,FRA,1596611.712,6384.804468,75492417536,2.69367E+12,0
AGO,GBR,926036.6332,7092.603076,75492417536,2.30893E+12,0
AGO,GHA,1211.109985,2422.775514,75492417536,25978509312,0
AGO,HKG,69452.44321,11483.77133,75492417536,2.14046E+11,0
AGO,IDN,566502.8125,10408.96156,75492417536,5.3958E+11,0
AGO,IND,2821321.788,7771.995122,75492417536,1.36537E+12,0
AGO,IRL,37.30278015,7275.030219,75492417536,2.33542E+11,0
AGO,ISR,55301.70703,5173.667472,75492417536,2.06479E+11,0
AGO,ITA,974324.8564,5850.537811,75492417536,2.18611E+12,0
AGO,JPN,257474.0408,13676.4242,75492417536,5.03514E+12,0
AGO,KOR,131190.321,12773.39468,75492417536,9.01935E+11,0
AGO,KWT,174.5630568,5693.167438,75492417536,1.05911E+11,0
AGO,LBN,83.94599915,5380.278827,75492417536,35139633152,0
AGO,LKA,33.4889555,7604.338376,75492417536,42067976192,0
AGO,MAR,33.38977814,5301.950725,75492417536,90908401664,0
AGO,MEX,596.206701,13000.27349,75492417536,8.95313E+11,0
AGO,MYS,93727.15834,10111.01495,75492417536,2.02251E+11,0
AGO,NLD,606745.2871,6942.261457,75492417536,8.58034E+11,0
AGO,NOR,27356.53576,7837.547429,75492417536,3.78849E+11,0
AGO,NPL,102.6929398,8698.173236,75492417536,12899651584,0
AGO,NZL,1.340999961,14192.41202,75492417536,1.18953E+11,0
AGO,PAK,564.1743449,7482.471818,75492417536,1.67875E+11,0
AGO,PAN,388928.9635,10612.11494,75492417536,25925099520,0
AGO,PER,396.3114522,9846.797102,75492417536,1.212E+11,0
AGO,PHL,859.2149978,12189.99785,75492417536,1.68334E+11,0
AGO,POL,3429.747165,6880.081513,75492417536,4.36476E+11,0
AGO,PRT,1262566.572,5956.993119,75492417536,2.43731E+11,0
AGO,QAT,14.21400034,5653.596581,75492417536,97798348800,0
AGO,RUS,19.13767123,8103.861427,75492417536,1.22264E+12,0
AGO,SEN,17152.20787,4348.780407,75492417536,12812994560,0
AGO,SGP,212133.1507,10046.30031,75492417536,1.92406E+11,0
AGO,SLV,5.847000122,11659.59345,75492417536,20661000192,0
AGO,SVK,8.784553528,6525.122881,75492417536,88634269696,0
AGO,SVN,23.46805477,6231.904816,75492417536,50244792320,0
AGO,SWE,1215.596838,7644.174613,75492417536,4.29656E+11,0
AGO,THA,106985.9213,9936.604304,75492417536,2.63711E+11,0
AGO,TUN,10.18500006,5108.71924,75492417536,43454935040,0
AGO,TUR,444.7575226,5816.240032,75492417536,6.14554E+11,0
AGO,TZA,8.240000129,2596.973714,75492417536,21368166400,0
AGO,UKR,41.05900002,6798.636834,75492417536,1.17228E+11,0
AGO,URY,1.00999999,7575.980879,75492417536,30461323264,0
AGO,USA,2408705.357,12153.60555,75492417536,1.44187E+13,0
AGO,VNM,4862.813869,10600.14445,75492417536,1.06015E+11,0
AGO,ZAF,1234134.912,2579.672265,75492417536,2.84183E+11,0
AGO,ZMB,372.225898,1683.33682,75492417536,15328314368,0
ALB,AGO,308.3248243,5708.832554,12044208128,75492417536,0
ALB,ARE,1865.485964,3723.027812,12044208128,2.53547E+11,0
ALB,ARG,200.4198406,11662.55612,12044208128,3.78496E+11,0
ALB,AUS,689.6385896,15208.49663,12044208128,9.26283E+11,0
ALB,AUT,20689.15658,848.8387314,12044208128,3.9757E+11,0
ALB,AZE,6.514136076,2437.057238,12044208128,44291489792,0
ALB,BEL,7797.327952,1609.068212,12044208128,4.85804E+11,0
ALB,BGR,22791.29339,464.8647134,12044208128,50161405952,0
ALB,BHR,354.2713429,3273.008087,12044208128,22938462208,0
ALB,BIH,5941.873204,376.4586203,12044208128,17264893952,0
ALB,BLR,420.591808,1517.908594,12044208128,49208655872,0
ALB,BOL,78.87934089,10935.6308,12044208128,17339992064,0
ALB,BRA,713.3256017,9388.915044,12044208128,1.62019E+12,0
ALB,CAN,6290.63494,7842.518131,12044208128,1.37084E+12,0
ALB,CHE,28314.47149,1169.54051,12044208128,5.39508E+11,0
ALB,CHL,273.7151413,12433.14174,12044208128,1.72323E+11,0
ALB,CHN,94061.50675,8026.048401,12044208128,4.99023E+12,0
ALB,CIV,338.8542542,4602.337694,12044208128,24277493760,0
ALB,CMR,154.4226242,4016.08722,12044208128,23381143552,0
ALB,COL,499.0216489,9975.874026,12044208128,2.33822E+11,0
ALB,CRI,9.863786578,10431.9402,12044208128,29382692864,0
ALB,CYP,66.97787595,1363.56618,12044208128,23542650880,0
ALB,CZE,9097.38798,1037.847322,12044208128,2.0573E+11,0
ALB,DEU,79599.68731,1383.711769,12044208128,3.41277E+12,0
ALB,DNK,3798.23889,1744.192858,12044208128,3.19764E+11,0
ALB,DOM,566.6194177,8653.199654,12044208128,47889006592,0
ALB,DZA,1232.250983,1550.224907,12044208128,1.37212E+11,0
ALB,ECU,1135.254965,10900.36598,12044208128,62519685120,0
ALB,EGY,11981.52983,1599.465578,12044208128,1.88984E+11,0
ALB,ESP,100702.2893,1931.681936,12044208128,1.49898E+12,0
